"Active","Aktivno"
"Add HolestPay Status Column","Dodaj HolestPay Status Kolonu"
"Add to Cart","Dodaj u Korpu"
"Admin","Administracija"
"All Countries","Sve Zemlje"
"Allow Specific Countries","Dozvoli Specifične Zemlje"
"Amount","Iznos"
"API Configuration","API Konfiguracija"
"API Error","API Greška"
"API Key","API Ključ"
"API Response","API Odgovor"
"API URL","API URL"
"Apply","Primeni"
"Back","Nazad"
"Cancel","Otkaži"
"Canceled","Otkazano"
"Card Number","Broj Kartice"
"Checkout","Plaćanje"
"City","Grad"
"Clear Quote","Očisti Ponudu"
"Configuration","Konfiguracija"
"Country","Zemlja"
"Create Order","Kreiraj Porudžbinu"
"Credit Card","Kreditna Kartica"
"Currency","Valuta"
"Customer","Kupac"
"Database","Baza Podataka"
"Debug","Debug"
"Default","Podrazumevano"
"Delete","Obriši"
"Description","Opis"
"Disabled","Onemogućeno"
"Edit","Uredi"
"Email","Email"
"Enabled","Omogućeno"
"Environment","Okruženje"
"Error","Greška"
"Failed","Neuspešno"
"First Name","Ime"
"Footer Logotypes","Footer Logotipi"
"General","Opšte"
"HolestPay","HolestPay"
"HolestPay Configuration","HolestPay Konfiguracija"
"HolestPay Order Status","HolestPay Status Porudžbine"
"HolestPay Payment Gateway","HolestPay Payment Gateway"
"HolestPay Status","HolestPay Status"
"HolestPay UID","HolestPay UID"
"Install","Instaliraj"
"Invalid","Nevažeće"
"Last Name","Prezime"
"Live","Produkcija"
"Loading","Učitavanje"
"Log","Log"
"Manage All Orders","Upravljaj Svim Porudžbinama"
"Merchant Site UID","Merchant Site UID"
"Message","Poruka"
"Minimum Order Total","Minimalni Iznos Porudžbine"
"Module","Modul"
"Name","Ime"
"New Order Status","Novi Status Porudžbine"
"No","Ne"
"Order","Porudžbina"
"Order ID","ID Porudžbine"
"Order Status","Status Porudžbine"
"Order Total","Ukupan Iznos Porudžbine"
"Payment","Plaćanje"
"Payment Method","Način Plaćanja"
"Payment Status","Status Plaćanja"
"Phone","Telefon"
"Please wait...","Molimo sačekajte..."
"Processing","Obrađuje se"
"Quantity","Količina"
"Refresh","Osveži"
"Remove","Ukloni"
"Required","Obavezno"
"Save","Sačuvaj"
"Sandbox","Test"
"Secret Key","Tajni Ključ"
"Select","Izaberi"
"Settings","Podešavanja"
"Shipping","Dostava"
"Sort Order","Redosled Sortiranja"
"Specific Countries","Specifične Zemlje"
"Status","Status"
"Success","Uspešno"
"Title","Naslov"
"Total","Ukupno"
"Uninstall","Deinstaliraj"
"Update","Ažuriraj"
"View","Pregled"
"Yes","Da"
"Captured amount","Uhvaćeni iznos"
"Company Name","Naziv kompanije"
"Company Register ID","ID u registru kompanije"
"Company Tax ID","Poreski ID kompanije"
"Error in payment request","Greška u zahtevu za plaćanje. Molimo proverite vaš email i kontaktirajte nas!"
"Installments","Rate"
"Installments grace months","Meseci odlaganja rata"
"No payment response","Nije primljen validan odgovor za plaćanje. Možete pokušati ponovo!"
"Ordering as a company?","Narucujete kao kompanija?"
"Payment error","Greška u plaćanju"
"Payment failed","Plaćanje neuspešno"
"Payment failed, you can try again","Plaćanje neuspešno, možete pokušati ponovo..."
"Payment has failed","Plaćanje je neuspešno. Možete pokušati ponovo!"
